date, price
2018-08-08,86.15
2018-08-09,86.15
2018-08-10,85.7
2018-08-13,83.95
2018-08-14,84.55
2018-08-15,83.75
2018-08-16,83.8
2018-08-17,83.65
2018-08-20,83.95
2018-08-21,84.55
2018-08-22,84.65
2018-08-23,85.05
2018-08-24,84.8
2018-08-27,85.55
2018-08-28,86.25
2018-08-29,87.25
2018-08-30,87.55
2018-08-31,86.95
2018-09-03,86.45
2018-09-04,87
2018-09-05,87
2018-09-06,86.5
2018-09-07,86.4
2018-09-10,86
2018-09-11,85.65
2018-09-12,85.55
2018-09-13,84.95
2018-09-14,86.5
2018-09-17,85.85
2018-09-18,85.4
2018-09-19,86.15
2018-09-20,85.9
2018-09-21,86.85
2018-09-25,87.1
2018-09-26,86.9
2018-09-27,87.35
2018-09-28,86.9
2018-10-01,87.35
2018-10-02,86.05
2018-10-03,85.95
2018-10-04,84.9
2018-10-05,83.45
2018-10-08,83
2018-10-09,83.25
2018-10-11,77.4
2018-10-12,80.05
2018-10-15,79.2
2018-10-16,79.3
2018-10-17,79.4
2018-10-18,79.15
2018-10-19,79.3
2018-10-22,79.2
2018-10-23,77.75
2018-10-24,77.4
2018-10-25,75.5
2018-10-26,75.4
2018-10-29,75.75
2018-10-30,75.95
2018-10-31,77.55
2018-11-01,78.4
2018-11-02,78.65
2018-11-05,78.25
2018-11-06,78
2018-11-07,78.4
2018-11-08,78.85
2018-11-09,77.8
2018-11-12,78
2018-11-13,77.1
2018-11-14,77.35
2018-11-15,77.6
2018-11-16,76.95
2018-11-19,76.7
2018-11-20,76
2018-11-21,76
2018-11-22,75.6
2018-11-23,75.35
2018-11-26,76.15
2018-11-27,76.05
2018-11-28,76.9
2018-11-29,77.05
2018-11-30,76.75
2018-12-03,78.8
2018-12-04,78.25
2018-12-05,76.65
2018-12-06,75.1
2018-12-07,75.45
2018-12-10,74.45
2018-12-11,75.05
2018-12-12,76.2
2018-12-13,76.3
2018-12-14,75.35
2018-12-17,75.95
2018-12-18,75.3
2018-12-19,75.9
2018-12-20,75.05
2018-12-21,75.2
2018-12-22,74.85
2018-12-24,74.7
2018-12-25,73.75
2018-12-26,73.55
2018-12-27,75.05
2018-12-28,75.5
2019-01-02,74.05
2019-01-03,73.35
2019-01-04,72.2
2019-01-07,73.95
2019-01-08,73.65
2019-01-09,75
2019-01-10,74.8
2019-01-11,75.5
2019-01-14,75
2019-01-15,75.65
2019-01-16,75.55
